ID_Respondente,Data_Resposta,Q1_Base_Matematica,Q2_Dificuldades,Q2_Outros,Q3_Contato_Calculo,Q4_Preocupacoes,Q4_Outros,Q5_Tipo_Ensino_Medio,Q6_Curso,Q7_Semestre,Q8_Campus,Q9_Componentes_EaD,Q10_Coeficiente_Rendimento,Q11_Horas_Estudo_Semana,Q12_Local_Preferencial,Q13_Autonomia_Estudo,Q14_Estrategias_Aprendizagem,Q15_Preferencia_Conteudo,Q16_Experiencia_Recursos,Q17_Motivacao_Intrinseca_Extrinseca,Q18_Areas_Dificuldade,Q19_Disciplinas_EaD,Q20_Reprovacao_Trancamento,Q21_Ansiedade_Provas,Q22_Obstaculos_EaD,Q23_Familiaridade_AVA,Q24_Frequencia_Acesso,Q25_Dispositivo_Mais_Usado,Q26_Conforto_IA,Q27_Dependencia_IA,Q28_Como_Assistente_Ajuda,Q29_Forma_Receber_Retorno,Q30_Abertura_Testes,Q31_Autoavaliacao_Desempenho,Q32_Proficiencia_Digital,Q33_Engajamento_Atual
11,2026-04-04 18:23:04,4,"Progressões, Trigonometria",Estatística básica,4,"Volume de exercícios, Interpretação de problemas, Linguagem e símbolos",,Privada,Engenharia Civil,4,Polo EaD - Belo Horizonte,"História, Metodologia Científica",6.466,Entre 2 e 4 horas,Minha casa,1,"Exercícios práticos, Resumos",Interativos,4,5,"Álgebra linear, Física, Didática",5,mais de 5,4,"Engajamento, Apoio docente insuficiente",2,Semanal,"Computador próprio, Tablet",1,0,"Recomendações de materiais, Roteiro de estudos, Gestão de tempo","Relatórios semanais, Dashboards visuais, Alertas rápidos","Usar protótipos, Responder pesquisas rápidas",1,4,2
12,2026-04-04 18:23:04,4,"Polinômios, Álgebra, Geometria analítica",Matrizes,5,"Tempo para acompanhar, Interpretação de problemas, Volume de exercícios",,Privada,Matemática,5,Campus Zona Norte,"História, Metodologia Científica",8.793,Entre 8 e 10 horas,"Casa de um parente, Biblioteca universidade",4,"Vídeoaulas, Mapas mentais",Auditivos,3,3,"Cálculo, Programação, Interpreção de texto",1,1,2,"Engajamento, Apoio docente insuficiente",2,Semanal,"Computador próprio, Smartphone",4,3,"Roteiro de estudos, Lembretes de prazos, Recomendações de materiais","Relatórios semanais, Alertas rápidos",Responder pesquisas rápidas,4,5,1
13,2026-04-04 18:23:04,5,"Progressões, Funções",,3,"Tempo para acompanhar, Interpretação de problemas",Visualização espacial,Pública,Matemática,4,Campus Zona Sul,"Estatística, Lógica",7.588,Entre 6 e 8 horas,"Biblioteca pública, Casa de um parente",4,"Exercícios teóricos, Resumos",Interativos,5,5,"Cálculo, Programação, Interpreção de texto",0,mais de 5,2,"Engajamento, Apoio docente insuficiente",2,Diária,"Tablet, Computador universidade",4,2,"Lembretes de prazos, Gestão de tempo",Dashboards visuais,"Responder pesquisas rápidas, Usar protótipos",3,1,4
14,2026-04-04 18:23:04,1,"Polinômios, Funções, Geometria analítica",,1,"Linguagem e símbolos, Tempo para acompanhar, Interpretação de problemas",,Pública,Farmácia,3,Campus Zona Norte,"Psicologia Geral, Comunicação Aplicada",7.536,Até 2 horas,"Casa de um parente, Biblioteca pública, Biblioteca universidade",3,"Mapas mentais, Resumos, Exercícios práticos",Auditivos,1,5,"Cálculo, Programação, Interpreção de texto",2,mais de 5,4,Tempo disponível,2,Diária,"Computador próprio, Tablet",2,0,"Gestão de tempo, Explicações extras, Roteiro de estudos, Lembretes de prazos",Dashboards visuais,"Responder pesquisas rápidas, Usar protótipos",5,3,1
15,2026-04-04 18:23:04,4,"Funções, Progressões",,4,"Volume de exercícios, Tempo para acompanhar, Linguagem e símbolos",Visualização espacial,Privada,Farmácia,9,Polo EaD - São Paulo,"Estatística, Lógica",7.373,Mais de 10 horas,"Biblioteca universidade, Laboratório, Minha casa",1,"Exercícios práticos, Mapas mentais, Exercícios teóricos",Interativos,3,1,"Estatística, Eletrônica, Mecânica",mais de 5,2,2,"Engajamento, Apoio docente insuficiente",2,Mensal,"Tablet, Computador universidade",3,2,"Gestão de tempo, Explicações extras, Roteiro de estudos, Lembretes de prazos","Relatórios semanais, Alertas rápidos",Responder pesquisas rápidas,4,5,2
16,2026-04-04 18:23:04,4,"Álgebra, Progressões, Polinômios",,1,"Volume de exercícios, Tempo para acompanhar",,Privada,Enfermagem,10,Campus Zona Sul,"Estatística, Lógica",7.88,Entre 4 e 6 horas,"Laboratório, Biblioteca universidade",3,"Exercícios práticos, Vídeoaulas, Mapas mentais, Exercícios teóricos",Visuais,1,2,"Matemática, Lógica, Redação",0,1,2,"Tempo disponível, Conteúdos complexos",4,Mensal,"Computador próprio, Tablet",5,4,"Gestão de tempo, Explicações extras, Lembretes de prazos, Recomendações de materiais","Relatórios semanais, Alertas rápidos","Usar protótipos, Responder pesquisas rápidas",1,5,2
17,2026-04-04 18:23:04,3,Funções,Estatística básica,3,"Volume de exercícios, Interpretação de problemas, Tempo para acompanhar",,Pública,Farmácia,5,Polo EaD - São Paulo,"Estatística, Lógica",7.394,Entre 2 e 4 horas,Biblioteca universidade,4,"Resumos, Exercícios práticos",Interativos,1,5,"Cálculo, Programação, Interpreção de texto",1,1,5,"Engajamento, Apoio docente insuficiente",1,Semanal,"Computador próprio, Smartphone",5,3,"Roteiro de estudos, Recomendações de materiais, Gestão de tempo, Lembretes de prazos",Dashboards visuais,"Responder pesquisas rápidas, Usar protótipos",3,5,5
18,2026-04-04 18:23:04,1,"Álgebra, Funções, Trigonometria",,3,"Linguagem e símbolos, Tempo para acompanhar, Interpretação de problemas",,Pública,Engenharia Mecânica,1,Polo EaD - São Paulo,"Estatística, Lógica",8.464,Entre 6 e 8 horas,"Minha casa, Casa de um parente",3,"Vídeoaulas, Exercícios práticos, Resumos, Exercícios teóricos",Auditivos,5,2,"Estatística, Eletrônica, Mecânica",0,1,2,"Engajamento, Apoio docente insuficiente",2,Diária,"Computador próprio, Smartphone",2,2,"Roteiro de estudos, Gestão de tempo, Recomendações de materiais, Explicações extras",Dashboards visuais,"Responder pesquisas rápidas, Usar protótipos",5,5,4
19,2026-04-04 18:23:04,4,Polinômios,,4,"Interpretação de problemas, Tempo para acompanhar, Volume de exercícios",,Pública,Direito,10,Polo EaD - Rio de Janeiro,"Sociologia, Filosofia",9.798,Mais de 10 horas,"Laboratório, Minha casa",2,"Exercícios teóricos, Exercícios práticos, Mapas mentais",Visuais,5,4,"Estatística, Eletrônica, Mecânica",0,mais de 5,3,"Engajamento, Apoio docente insuficiente",3,Mensal,"Computador próprio, Tablet",1,1,"Lembretes de prazos, Roteiro de estudos, Recomendações de materiais","Relatórios semanais, Dashboards visuais, Alertas rápidos","Usar protótipos, Responder pesquisas rápidas",1,3,3
20,2026-04-04 18:23:04,3,Progressões,Estatística básica,1,"Tempo para acompanhar, Volume de exercícios, Linguagem e símbolos",,Privada,Farmácia,8,Polo EaD - Belo Horizonte,"Estatística, Lógica",8.768,Entre 2 e 4 horas,"Laboratório, Casa de um parente",3,"Exercícios práticos, Resumos, Exercícios teóricos",Visuais,2,3,"Cálculo, Programação, Interpreção de texto",4,mais de 5,1,"Tempo disponível, Conteúdos complexos",1,Eventual,"Computador próprio, Smartphone",2,3,"Gestão de tempo, Roteiro de estudos, Recomendações de materiais, Lembretes de prazos",Dashboards visuais,Responder pesquisas rápidas,5,2,4
