Disciplina,Ementa,Pré-requisitos,Horas,Semestre,Dificuldade,Departamento,Créditos,Habilidades Adquiridas,Ferramentas Usadas,Métodos de Avaliação
Design de Banco de Dados,"Entidade-relacionamento, normalização, projeto lógico e físico, backup and recovery, replicação",Sistemas de Banco de Dados; Matemática Discreta,75,4,8,Ciência da Computação,4,"Database architecture, Normalização, Design físico, Replicação","PostgreSQL, MySQL, Design de Banco de Dados tools, SQL","Projetos de Design 50%, Provas 30%, ImplEmentação 20%"
Engenharia de Software,"Ciclo de vida de software, requirements, design, testing, maintenance, SDLC models, project management",Programação Orientada a Objetos; Algoritmos,90,4,8,Ciência da Computação,4,"Design de software, Estratégias de teste, Projeto management, Documentação","UML, JIRA, Git, Confluence, Design tools","Projeto 60%, Provas 25%, Documentação 15%"
Sistemas Operacionais,"Processos, gerenciamento de memória, sistemas de arquivos, scheduling, sincronização, interrupções, kernel",Algoritmos; Arquitetura de Computadores knowledge,90,4,8,Ciência da Computação,4,"Gestão de processos, Gestão de memória, Sincronização, Sistemas de arquivos","C, Linux, Virtual machines, System monitoring tools","Provas 30%, Projetos de Kernel 50%, Quizzes 20%"
Design de Compiladores,"Análise léxica, sintática, semântica, otimização, geração de código, interpretadores",Algoritmos; Matemática Discreta,90,4,8,Ciência da Computação,4,"Análise sintática, Otimização de compilador, Geração de código, Design de linguagem","Lex/Yacc, ANTLR, Python, Compiler tools","Provas 35%, Projeto de Compilador 50%, Pesquisa 15%"
Inteligência Artificial,"Busca, heurísticas, lógica, redes neurais, machine learning, processamento de linguagem natural",Algoritmos; Álgebra Linear; Statistics,90,5,8,Ciência da Computação,4,"Algoritmos de IA, Machine learning, Aprendizado profundo, PLN","Python, TensorFlow, PyTorch, Scikit-learn, NLTK","Provas 25%, Projetos de ML 50%, Projeto Final 25%"
Aprendizado de Máquina,"Supervised learning, unsupervised learning, neural networks, feature engineering, model evaluation, deep learning",Inteligência Artificial; Álgebra Linear; Statistics,90,5,8,Ciência da Computação,4,"Algoritmos de ML, Treinamento de modelo, Ajuste de hiperparâmetro, Aprendizado profundo","Python, scikit-learn, TensorFlow, Pandas, Jupyter","Provas 20%, Atribuições de ML 40%, Competição Kaggle 40%"
Redes de Computadores,"Modelo OSI, TCP/IP, roteamento, switching, segurança de rede, protocolos, DNS, DHCP",Data Comunicaçãos knowledge recommended,90,4,8,Ciência da Computação,4,"Protocolos de rede, Roteamento, Comutação, Segurança de rede, Análise de pacotes","Cisco Packet Tracer, Wireshark, Linux, tcpdump","Provas 35%, Atribuições de Laboratóriooratório 40%, Projeto de Rede 25%"
Segurança Cibernética,"Criptografia, autenticação, autorização, firewalls, intrusion detection, segurança em aplicações, compliance",Redes de Computadores; Sistemas Operacionais,90,5,8,Ciência da Computação,4,"Criptografia, Autenticação, Protocolos de segurança, Teste de penetração","Kali Linux, Wireshark, OpenSSL, Burp Suite, metasploit","Provas 25%, Projetos de Segurança 45%, Capture the Flag 30%"
Testes de Software,"Unit testing, integration testing, system testing, test automation, TDD, BDD, test planning",Engenharia de Software,75,5,8,Ciência da Computação,3,"Design de teste, Automação de teste, Garantia de qualidade, Depuração","JUnit, Selenium, TestNG, Pytest, JIRA","Provas 20%, Design de Casos de Teste 35%, Projetos de Automação 45%"
Estatística para Ciência de Dados,"Descriptive statistics, probability, hypothesis testing, regression, distributions, inference",Álgebra Linear; Matemática Discreta,75,3,5,Matemática,4,"Análise estatística, Teste de hipótese, Análise de regressão, Interpretação de dados","R, Python (statsmodels, scipy), Excel, Tableau","Provas 35%, Conjuntos de Problemas 35%, Projeto de Análise de Dados 30%"
Cálculo I,"Limits, derivatives, integrals, applications of derivatives, optimization, series",Matemática Discreta; Álgebra Linear,75,1,5,Matemática,4,"Computação de derivada, Técnicas de integração, Otimização, Análise de série","Mathematica, MATLAB, Python SymPy, Wolfram Alpha","Provas 50%, Conjuntos de Problemas 30%, Projetos 20%"
Cálculo II,"Computational methods, multiple integrals, vector calculus, differential equations, Fourier analysis",Cálculo I,75,2,5,Matemática,4,"Integrais múltiplas, Cálculo vetorial, Resolução de equações diferenciais, Expansão em série","MATLAB, Mathematica, Python SciPy, Numerical libraries","Provas 50%, Conjuntos de Problemas 30%, Applications 20%"
Métodos Numéricos,"Approximation theory, error analysis, numerical integration, solving equations, interpolation, numerical ODE/PDE",Cálculo II; Ciência da Computação basics,90,3,5,Ciência da Computação,4,"Aproximação numérica, Análise de erro, Estabilidade de algoritmo, Problemas de precisão","MATLAB, Python, C, Numerical libraries","Provas 30%, Algorithm implEmentation 40%, Numerical projects 30%"
Arquitetura de Computadores,"Organização de computadores, instruction sets, pipeline, memory hierarchy, cache, parallel architecture",Introdução à Ciência da Computação; Matemática Discreta,90,2,5,Ciência da Computação,4,"Compreensão de design de CPU, Hierarquia de memória, Conceitos de pipeline, Interface hardware-software","Verilog, VHDL, Logisim, Assembly, Simulators","Provas 40%, Projetos de Design de Chips 40%, Programação em Assembly 20%"
Computação Paralela,"OpenMP, MPI, CUDA, Programação em GPU, distributed computing, synchronization, performance analysis",Sistemas Operacionais; Algoritmos,90,5,8,Ciência da Computação,4,"Algoritmos paralelos, Programação em GPU, Programação MPI, Otimização de desempenho","CUDA, OpenMP, MPI, Python multiprocessing, Thrust","Provas 25%, Atribuições de Codificação Paralela 50%, Projeto Final 25%"
Computação em Nuvem,"Infrastructure as a Service, Platform as a Service, Software as a Service, cloud architecture, scalability, DevOps",Sistemas Operacionais; Web Development; Engenharia de Software,90,5,8,Ciência da Computação,4,"Implantação em nuvem, Gestão de infraestrutura, Microsserviços, Contentorização","AWS, Azure, Google Cloud, Docker, Kubernetes","Provas 20%, Cloud projects 50%, DevOps pipeline 30%"
Desenvolvimento de Aplicativos Móveis,"Android/iOS development, mobile UI/UX, APIs for mobile, performance optimization, deployment",Programação Orientada a Objetos; Fundamentos de Desenvolvimento Web,90,4,5,Ciência da Computação,4,"Desenvolvimento de aplicativo móvel, Design de UI/UX, Teste móvel, Implantação de aplicativo","Android Studio, Xcode, Flutter SDK, React Native","Provas 15%, Mobile apps 60%, Revisão de Código 25%"
Ciência de Dados,"Data collection, cleaning, exploration, visualization, modeling, evaluation, deployment",Estatística para Ciência de Dados; Aprendizado de Máquina; SQL,90,5,8,Ciência da Computação,4,"Limpeza de dados, AED, Modelagem estatística, Visualização de dados, Implantação de modelo ML","Python, Pandas, Matplotlib, Seaborn, Scikit-learn, Jupyter","Projetos 60%, Provas 25%, Kaggle 15%"
Processamento de Linguagem Natural,"Tokenization, POS tagging, parsing, semantic analysis, machine translation, chatbots, transformers",Aprendizado de Máquina; Estatística para Ciência de Dados,90,5,8,Ciência da Computação,4,"Algoritmos de PLN, Modelos de linguagem, Pré-processamento de texto, Aprendizado profundo for PLN","NLTK, spaCy, Transformers, PyTorch, FastText","Provas 20%, PLN projects 50%, Projeto Final 30%"
Visão Computacional,"Image processing, feature extraction, object detection, image classification, CNN, segmentation, deep learning",Aprendizado de Máquina; Álgebra Linear; Cálculo II,90,5,8,Ciência da Computação,4,"Manipulação de imagem, Detecção de recursos, Aprendizado profundo for vision, Treinamento de modelo","OpenCV, Python, TensorFlow, PyTorch, CUDA","Provas 20%, CV projects 50%, Model implEmentation 30%"
Sistemas Distribuídos,"Consistency, availability, partition tolerance, consensus algorithms, message passing, fault tolerance, eventual consistency",Sistemas Operacionais; Redes de Computadores; Algoritmos,90,5,8,Ciência da Computação,4,"Algoritmos distribuídos, Protocolos de consenso, Tolerância a falhas, Design de sistema","Akka, Zookeeper, Raft protocol visualization, Docker","Provas 25%, Distributed system design 45%, ImplEmentação 30%"
Desenvolvimento Web Avançado,"Real-time applications, WebSockets, reactive programming, microservices, serverless, GraphQL advanced",Fundamentos de Desenvolvimento Web; Engenharia de Software,90,4,8,Ciência da Computação,4,"Desenvolvimento full-stack, Sistemas em tempo real, Arquitetura de microsserviço, Design de API","React, Node.js, Next.js, Firebase, GraphQL","Provas 15%, Projetos Full-Stack 60%, Revisão de Código 25%"
Desenvolvimento de Jogos,"Game engines, physics engines, graphics programming, game loops, asset management, optimization",Gráficos de Computador; Fundamentos de Programação II; Álgebra Linear,90,4,5,Ciência da Computação,4,"Uso de mecanismo de jogo, Física implEmentation, Renderização de gráficos, Otimização de jogo","Unity, Unreal Engine, C#, C++, Blender","Protótipos de Jogos 40%, Simulação de Física 30%, Jogo Final 30%"
Gráficos de Computador,"Rendering, ray tracing, texturing, shading, 3D transformation, graphics pipeline, optimization",Álgebra Linear; Cálculo II; Arquitetura de Computadores,90,4,5,Ciência da Computação,4,"Conceitos de gráficos 3D, Programação de shader, Técnicas de renderização, Otimização","OpenGL, GLSL, WebGL, Python (Pygame), Graphics libraries","Provas 25%, Projetos de Gráficos 50%, Projeto de Renderização Final 25%"
Linguagens Formais e Autômatos,"Regular languages, context-free languages, Turing machines, computability, complexity classes, decidability",Matemática Discreta; Algoritmos,75,3,5,Ciência da Computação,4,"Teoria de autômatos, Teoria de linguagem, Compreensão de computabilidade, Classes de complexidade","JFLAP, Python, Regex, Formal proof tools","Provas 50%, Design de Autômatos 30%, Atribuições de Prova 20%"
Teoria da Informação,"Entropy, coding theory, compression, error correction, channel capacity, applications",Matemática Discreta; Probability; Statistics,75,4,8,Matemática,4,"Entropia de Shannon, Compressão de dados, Códigos de correção de erro, Métricas de informação","Python, MATLAB, Theoretical simulations, Coding theory libraries","Provas 40%, Problemas de Codificação 35%, Artigo de Pesquisa 25%"
Criptografia,"Symmetric encryption, public-key cryptography, digital signatures, hash functions, key management, protocols",Number Theory; Matemática Discreta; Teoria da Informação,75,4,8,Ciência da Computação,4,"Encriptação/descriptação, Assinaturas digitais, Geração de chave, Análise de protocolo","OpenSSL, Python Criptografia library, Wireshark, GnuPG","Provas 30%, ImplEmentação Criptográfica 40%, Análise de Segurança 30%"
Arquitetura de Software,"Padrões arquitetônicos, scalability, maintainability, design decisions, refactoring, technical debt",Engenharia de Software; Design Patterns knowledge,90,5,8,Ciência da Computação,4,"Design de sistema, Architecture patterns, Análise de compensação, Planejamento de escalabilidade","UML, ArchiMate, Miro, Enterprise architecture tools","Provas 20%, Design de Arquitetura 50%, Estudos de Caso 30%"
DevOps e CI/CD,"Continuous integration, continuous deployment, infrastructure automation, monitoring, logging, orchestration",Engenharia de Software; Sistemas Operacionais; Computação em Nuvem,75,5,8,Ciência da Computação,3,"Configuração de pipeline, Infraestrutura como código, Automação de implantação, Monitoramento","Jenkins, Docker, Kubernetes, Ansible, GitLaboratório CI, Prometheus","Provas 20%, Criação de Pipeline 50%, Configuração de Infraestrutura 30%"
Arquitetura de Microsserviços,"Service design, API gateways, service discovery, circuit breakers, event-driven systems, testing",Desenvolvimento Web Avançado; Sistemas Distribuídos; Arquitetura de Software,75,5,8,Ciência da Computação,3,"Design de Microsserviço, Event-driven systems, Comunicação de serviço, Testing","Spring Boot, Node.js, Docker, Kubernetes, Message brokers","Provas 20%, Design de Microsserviço 50%, ImplEmentação 30%"
Internet das Coisas,"IoT architecture, sensors, actuators, protocols, edge computing, cloud integration, security",Sistemas Embarcados; Redes de Computadores; Databases,75,5,8,Ciência da Computação,3,"Design de sistema IoT, Integração de sensor, Computação de borda, Protocol implEmentation","Arduino, Raspberry Pi, MQTT, CoAP, Cloud platforms, TensorFlow Lite","Projetos 50%, Protótipos de Sistema 30%, Documentação 20%"
Tecnologia Blockchain,"Distributed ledger, consensus mechanisms, smart contracts, cryptographic hashing, distributed computing",Criptografia; Sistemas Distribuídos; Estrutura de Dados,75,5,8,Ciência da Computação,3,"Blockchain implEmentation, Contrato Inteligente writing, Compreensão de consenso, Validação de transação","Ethereum, Solidity, Web3.js, Hyperledger, Python libraries","Provas 25%, Contrato Inteligente 40%, Projeto Blockchain 35%"
Computação Quântica,"Quantum bits, quantum gates, quantum algorithms, quantum simulation, quantum error correction",Álgebra Linear; Cálculo II; Quantum Mechanics basics,75,5,8,Ciência da Computação,3,"Design de algoritmo quântico, Construção de circuito quântico, Simulação quântica, Mapeamento de problema","Qiskit, Q#, Cirq, Quantum simulators, MATLAB","Provas 30%, Algoritmos Quânticos 40%, Projetos de Simulação 30%"
Gestão de Projetos,"Agile methodologies, Scrum, Kanban, resource planning, risk management, communication, estimation",Engenharia de Software; Professional communication skills,60,5,5,Gestão,3,"Projeto planning, Coordenação de equipe, Práticas ágeis, Gestão de stakeholder","Jira, Trello, Confluence, Azure DevOps, Monday.com","Provas 20%, Execução de Projeto 60%, Documentação 20%"
Escrita Técnica,"Documentação, API documentation, user manuals, technical specifications, communication skills, presentation skills",Writing fundamentals; Fundamentos de Programação I,60,4,2,Comunicação,3,"Clear technical writing, Documentação creation, Specification writing, Habilidades de apresentação","Markdown, Confluence, Sphinx, DrawIO, Figma","Atribuições de Escrita 50%, Documentação 30%, Apresentações 20%"
Métodos Formais,"Formal verification, model checking, theorem proving, specification languages, program correctness proof",Linguagens Formais e Autômatos; Matemática Discreta,75,5,8,Ciência da Computação,3,"Formal specification, Model checking, Correctness proofs, Temporal logic","TLA+, Coq, Alloy, SPIN, Z3 solver","Provas 40%, Especificações Formais 40%, Verificação 20%"
Otimização de Desempenho,"Code profiling, optimization techniques, memory optimization, concurrency optimization, benchmarking",Algoritmos; Arquitetura de Computadores; Sistemas Operacionais,75,5,8,Ciência da Computação,3,"Performance analysis, Otimização strategies, Bottleneck identification, Benchmarking","Profilers, MATLAB, Python, Performance monitoring tools","Provas 25%, Projetos de Otimização 50%, Benchmarks 25%"
Laboratóriooratório de Inovação,"Emerging technologies, startup culture, business model development, prototyping, pitching, entrepreneurship",Senior projects; Engenharia de Software,60,6,5,Negócios,3,"Innovation thinking, Plano de Negóciosning, Prototipagem, Habilidades de apresentação","Pensamento de design tools, Prototipagem platforms, Pitch tools","Projeto 40%, Processo de Inovação 35%, Apresentação Final 25%"
Sistemas Embarcados,"Microcontrollers, real-time systems, firmware, hardware-software integration, interrupts, timers",Arquitetura de Computadores; Fundamentos de Programação II,90,3,5,Ciência da Computação,4,"Programação embarcada, Conceitos em tempo real, Interface de hardware, Desenvolvimento de firmware","Arduino, ARM Cortex, Embedded C, STM32, Oscilloscope","Provas 30%, Projetos Embarcados 50%, Projeto Final 20%"
Segurança de Rede,"Firewalls, intrusion detection, VPNs, SSL/TLS, DDoS protection, vulnerability assessment, incident response",Redes de Computadores; Segurança Cibernética,75,5,8,Ciência da Computação,3,"Defesa de rede, Avaliação de vulnerabilidade, Detecção de ameaça, Gestão de incidente","Snort, Suricata, Metasploit, Network analyzers, IDS/IPS","Provas 25%, Avaliações de Segurança 50%, Exercícios de Laboratóriooratório 25%"
Inteligência de Negócios,"Data warehousing, ETL processes, analytics, BI tools, dashboards, reporting, OLAP, data mining",Sistemas de Banco de Dados; Estatística para Ciência de Dados,75,4,8,Ciência da Computação,3,"Design de data warehouse, Desenvolvimento ETL, Criação de painel, Análise","SQL Server, Tableau, Power BI, Looker, Pentaho","Provas 20%, Projetos de BI 50%, Design de Painel 30%"
Design UX/UI,"Pesquisa de usuário, wireframing, prototyping, usability testing, interaction design, accessibility, design systems",Fundamentos de Desenvolvimento Web; Technical Comunicação,75,3,5,Design,3,"Pensamento de design, Pesquisa de usuário, Prototipagem, Princípios de usabilidade, Acessibilidade","Figma, Adobe XD, Sketch, Prototipagem tools, Usability software","Projetos 60%, Design documentation 25%, Usability testing 15%"
Processamento de Fala e Áudio,"Audio digitization, filtering, feature extraction, speech recognition, synthesis, audio compression",Processamento de Sinais; Aprendizado de Máquina,75,4,8,Ciência da Computação,3,"Processamento de áudio, Reconhecimento de fala, Extração de recursos de áudio, Síntese","Python librosa, PyAudio, Kaldi, TensorFlow Audio, Audacity","Provas 25%, Projetos de Áudio 50%, Projeto Final 25%"
Sistemas de Recomendação,"Collaborative filtering, content-based filtering, matrix factorization, hybrid approaches, evaluation metrics",Aprendizado de Máquina; Databases; Statistics,75,5,8,Ciência da Computação,3,"Algoritmos de recomendação, Personalização, Teste A/B, Sistemas escaláveis","Surpriselib, Implicit, Apache Spark MLlib, TensorFlow","Provas 20%, ImplEmentação de Recomendador 50%, Avaliação 30%"
Mineração de Texto e Análise,"Pré-processamento de texto, sentiment analysis, topic modeling, document classification, information extraction",Processamento de Linguagem Natural; Estatística para Ciência de Dados,75,5,8,Ciência da Computação,3,"Processamento de texto, Análise de sentimento, Descoberta de tópico, Agrupamento de documento","NLTK, spaCy, Gensim, Scikit-learn, TextBlob","Provas 20%, Projetos de Mineração de Texto 50%, Relatórios de Análise 30%"
Realidade Aumentada e Virtual,"AR/VR principles, 3D graphics, tracking, interaction design, content creation, deployment",Gráficos de Computador; Desenvolvimento de Jogos,75,4,8,Ciência da Computação,3,"Desenvolvimento de RA/RV, Interação 3D, Computação espacial, Sistemas imersivos","Unity, Unreal Engine, ARKit, ARCore, WebXR","Provas 15%, Projetos de RV 60%, Desenvolvimento de Protótipo 25%"
Bioinformática,"DNA sequencing, protein structure, genomic analysis, sequence alignment, computational biology",Algoritmos; Estatística para Ciência de Dados,75,4,8,Ciência da Computação,3,"Análise de sequência, Computação genômica, Modelagem de proteína, Interpretação de dados biológicos","Bioconductor, BioPython, BLAST, Pymol, R","Provas 25%, Projetos de Bioinformática 50%, Artigo de Pesquisa 25%"
Robótica,"Robot kinematics, control systems, path planning, sensor fusion, autonomous systems, applications",Álgebra Linear; Visão Computacional; Sistemas Embarcados,90,5,8,Ciência da Computação,4,"Programação de robô, Planejamento de movimento, Integração de sensor, Controle autônomo","ROS, Gazebo, MATLAB Robótica Toolbox, Arduino, Python","Provas 20%, Projetos de Robô 60%, Apresentação Final 20%"
Perícia Digital,"Evidence collection, data recovery, log analysis, malware analysis, investigation procedures, legal aspects",Segurança Cibernética; Sistemas Operacionais; Redes de Computadores,75,5,8,Ciência da Computação,3,"Manipulação de evidência, Análise Forense, Detecção de malware, Procedimentos de investigação","Wireshark, Autopsy, Volatility, Burp Suite, Hex editors","Provas 25%, Análise Forense 50%, Escrita de Relatório 25%"
Agile Ciência de Dados,"Agile methodologies for data, experimentation, rapid prototyping, data product development, deployment",Ciência de Dados; Engenharia de Software; Gestão de Projetos,60,5,5,Ciência da Computação,3,"Agile data workflows, Experimentation, Rapid prototyping, Data product deployment","Jupyter, MLflow, DVC, Git, Agile tools","Projetos 60%, Provas 20%, Portfolio 20%"
Algoritmos e Lógica Computacional,"Resolução de problemas, desenvolvimento de algoritmos, lógica booleana, fluxogramas",Nenhum,72,1,3,Ciência da Computação,3,"Raciocínio lógico, desenvolver algoritmos, pensamento computacional","Python, Pseudocódigo, IDE","Provas 40%, Prática 40%, Participação 20%"
Física Aplicada,"Mecânica clássica, ondas, óptica, eletromagnetismo, aplicações práticas em engenharia",Nenhum,72,1,5,Física,3,"Resolução de problemas físicos, modelagem matemática, entendimento experimental","MATLAB, Simuladores, Equipamento de laboratório, Python","Provas 50%, Atribuições 30%, Laboratório 20%"
Fundamentos do Cálculo Para Engenharia,"Funções, limites, derivadas, integrais, aplicações em engenharia, otimização",Nenhum,72,1,4,Matemática,3,"Fundamentos de cálculo, derivadas, integrais, técnicas de otimização","Mathematica, MATLAB, Wolfram Alpha, Python SymPy","Provas 50%, Listas de exercícios 30%, Projetos 20%"
Estudos do Ser Humano Contemporâneo,"Formação humanística, cidadania, sociedade contemporânea, ética profissional",Nenhum,72,1,2,Humanidades,2,"Raciocínio crítico, conscientização social, ética, habilidades de comunicação","Estudos de caso, Fóruns de discussão, Revisão de literatura","Participação 40%, Ensaios 40%, Debates 20%"
Prática Profissional Extensionista: Introdução Aos Projetos de Engenharia,"Metodologia de projeto, design thinking, prototipagem, trabalho em equipe, documentação",Nenhum,144,1,4,Engenharia,5,"Metodologia de projetos, colaboração em equipe, documentação técnica, apresentação","CAD, Ferramentas de projeto, Materiais de prototipagem, Pacote Office","Projeto 60%, Documentação 20%, Apresentação 20%"
Iniciação a Pesquisa Científica,"Método científico, pesquisa bibliográfica, formatação de trabalhos, ética em pesquisa",Nenhum,72,2,2,Pesquisa,2,"Método científico, pesquisa em literatura, redação acadêmica, análise crítica","Mendeley, LaTeX, Bases de dados de pesquisa, Ferramentas de escrita","Provas 30%, Projeto de pesquisa 50%, Escrita 20%"
Circuitos Lógicos,"Portas lógicas, álgebra booleana, circuitos combinacionais, circuitos sequenciais",Algoritmos e Lógica Computacional,72,2,5,Ciência da Computação,3,"Design de lógica digital, álgebra booleana, circuitos combinacionais e sequenciais","Logisim, VHDL, Simuladores, Ferramentas de design digital","Provas 40%, Projetos de lab 40%, Design 20%"
Geometria Analítica e Vetorial,"Vetores, operações vetoriais, espaços vetoriais, transformações geométricas",Fundamentos do Cálculo Para Engenharia,72,2,4,Matemática,3,"Operações vetoriais, transformações geométricas, geometria 3D, raciocínio espacial","MATLAB, Python NumPy, Mathematica, Ferramentas de visualização","Provas 50%, Listas de exercícios 30%, Projetos 20%"
Materiais Elétricos e Eletrônicos,"Classificação de materiais, condutores, semicondutores, isolantes, propriedades",Física Aplicada,72,2,4,Engenharia Elétrica,3,"Análise de propriedades de materiais, compreensão de semicondutores, seleção de componentes","Instrumentos de medição, Osciloscópio, Amostras de materiais, SPICE","Provas 40%, Laboratório 40%, Apresentações 20%"
Probabilidade e Estatística Aplicada,"Conceitos probabilísticos, distribuições, inferência estatística, testes de hipótese",Nenhum,72,2,5,Matemática,3,"Análise de probabilidade, inferência estatística, testes de hipótese, interpretação de dados","R, Python (scipy, pandas), Excel, Tableau","Provas 35%, Listas de exercícios 35%, Projetos 30%"
Ética e Cidadania,"Ética profissional, responsabilidade social, meio ambiente, direitos e deveres",Nenhum,72,3,2,Humanidades,2,"Raciocínio ético, responsabilidade social, tomada de decisão, conduta profissional","Análise de casos, Grupos de discussão, Código de ética","Participação 40%, Ensaios 40%, Debates 20%"
Cálculo Diferencial e Integral,"Funções complexas, derivadas parciais, integrais múltiplas, séries, aplicações",Fundamentos do Cálculo Para Engenharia,72,3,5,Matemática,3,"Cálculo avançado, derivadas parciais, integrais múltiplas, análise de séries, modelagem","MATLAB, Mathematica, Python SciPy, Wolfram Alpha","Provas 50%, Listas de exercícios 30%, Projetos 20%"
Fundamentos de Eletricidade e Magnetismo,"Campo elétrico, potencial, corrente, magnetismo, indução, ondas eletromagnéticas",Física Aplicada; Cálculo Diferencial e Integral,72,3,6,Engenharia Elétrica,3,"Teoria eletromagnética, análise de circuitos, conceitos de campo magnético, propagação de ondas","Osciloscópio, Fonte de alimentação, Materiais magnéticos, COMSOL","Provas 40%, Laboratório 40%, Projetos 20%"
Mecânica Geral,"Cinemática, dinâmica, momento, energia, trabalho, rotação, aplicações em sistemas",Física Aplicada; Cálculo Diferencial e Integral,72,3,5,Engenharia Mecânica,3,"Princípios de mecânica, análise dinâmica, conservação de energia, movimento rotacional","MATLAB, Software CAD, Simuladores de física, Ferramentas de modelagem","Provas 40%, Listas de exercícios 30%, Projetos 30%"
Programação Estruturada,"Estruturas de controle, funções, recursão, manipulação de arquivos, programação modular",Algoritmos e Lógica Computacional,72,3,3,Ciência da Computação,3,"Programação estruturada, design de funções, código modular, técnicas de depuração, E/S de arquivo","C, Python, VS Code, Depuradores, Git","Provas 30%, Atribuições de codificação 50%, Revisão de código 20%"
Direitos Humanos,"Histórico de direitos, legislação, justiça, identidade, diversidade, aplicações profissionais",Nenhum,72,4,2,Humanidades,2,"Compreensão de direitos humanos, justiça social, conhecimento de legislação, habilidades de advocacia","Documentos legais, Estudos de caso, Discussões, Multimídia","Participação 40%, Ensaios 40%, Projetos 20%"
Cálculo de Várias Variáveis,"Funções multivariáveis, gradiente, divergência, rotacional, integrais de linha e superfície",Cálculo Diferencial e Integral; Geometria Analítica e Vetorial,72,4,6,Matemática,3,"Cálculo multivariável, campos vetoriais, integrais de linha e superfície, curl e divergência","MATLAB, Python (numpy, scipy), Mathematica, Visualização","Provas 50%, Listas de exercícios 30%, Projetos 20%"
Circuitos Elétricos,"Lei de Ohm, Kirchhoff, análise nodal, análise de malhas, circuitos AC/DC",Fundamentos de Eletricidade e Magnetismo; Programação Estruturada,72,4,6,Engenharia Elétrica,3,"Análise de circuitos, Leis de Kirchhoff, análise AC/DC, aplicação de teoremas, simulação","SPICE, Multisim, Osciloscópio, Fonte de alimentação, MATLAB","Provas 35%, Laboratório 40%, Design 25%"
